state,stateCode,population,tests,testsPer100K
Alabama,AL,4887681,193759,3964
Alaska,AK,735139,44964,6116
Arizona,AZ,7158024,190731,2665
Arkansas,AR,3009733,111773,3714
California,CA,39461588,1696396,4299
Colorado,CO,5691287,156011,2741
Connecticut,CT,3571520,225362,6310
Delaware,DE,965479,54914,5688
District of Columbia,DC,701547,42055,5995
Florida,FL,21244317,923224,4346
Georgia,GA,10511131,514945,4899
Hawaii,HI,1420593,50371,3546
Idaho,ID,1750536,41406,2365
Illinois,IL,12723071,786794,6184
Indiana,IN,6695497,230749,3446
Iowa,IA,3148618,135004,4288
Kansas,KS,2911359,81399,2796
Kentucky,KY,4461153,169856,3807
Louisiana,LA,4659690,341026,7319
Maine,ME,1339057,37559,2805
Maryland,MD,6035802,254487,4216
Massachusetts,MA,6882635,545481,7925
Michigan,MI,9984072,484279,4851
Minnesota,MN,5606249,209898,3744
Mississippi,MS,2981020,147819,4959
Missouri,MO,6121623,160298,2619
Montana,MT,1060665,33834,3190
Nebraska,NE,1925614,88042,4572
Nevada,NV,3027341,123367,4075
New Hampshire,NH,1353465,63039,4658
New Jersey,NJ,8886025,635892,7156
New Mexico,NM,2092741,177361,8475
New York,NY,19530351,1774128,9084
North Carolina,NC,10381615,352331,3394
North Dakota,ND,758080,66854,8819
Ohio,OH,11676341,339400,2907
Oklahoma,OK,3940235,159941,4059
Oregon,OR,4181886,115538,2763
Pennsylvania,PA,12800922,408472,3191
Rhode Island,RI,1058287,135363,12791
South Carolina,SC,5084156,172734,3397
South Dakota,SD,878698,37038,4215
Tennessee,TN,6771631,403504,5959
Texas,TX,28628666,821233,2869
Utah,UT,3153550,198592,6297
Vermont,VT,624358,30423,4873
Virginia,VA,8501286,267181,3143
Washington,WA,7523869,330598,4394
West Virginia,WV,1804291,87811,4867
Wisconsin,WI,5807406,216737,3732
Wyoming,WY,577601,21502,3723